pali_1,pos,meaning_1,root,pattern,sbs_class
jivhatā,fem,fact of having a tongue,,ā fem,7
jivhā,fem,tongue,,ā fem,7
jīraṇatā,fem,old age; decrepitude; deterioration,√jīr,ā fem,7
jīrati,pr,ages; grows old; gets worn out; declines,√jīr,ati pr,3
jīva 2,nt,life,√jīv,a nt,9
jīvita 1,nt,life; existence,√jīv,a nt,11
jīvita 2,nt,livelihood; lifestyle; way of life,√jīv,a nt,11
jīvitukāma,adj,wishing to live; wanting to stay alive,,a adj,9
jegucchī 1,adj,who is disgusted (to); recoiling (from); who hates (to); who detests,√gup 1,ī adj,5
jeṭṭha 1,adj,first; elder; eldest; foremost,,a adj,11
jhāna 2,nt,meditation; stage of meditation,√jhā,a nt,9
jhāyati 1.2,pr,meditates; contemplates,√jhā,ati pr,3
jhāyī 1,masc,meditator; yogi,√jhā,ī masc,5
jhāyī 2,adj,meditating; contemplating,√jhā,ī adj,5
ñatvā,abs,having known; having found out; having understood,√ñā,,8
ñāṇa 2,nt,knowing (of); understanding (of); insight (into),√ñā,a nt,9
ñāti,masc,family; relative; kinsman,√ñā,i masc,4
ñāya,masc,way; means; method; system,√i 1,a masc,2
ñāyati 1,pr,is known; is evident; is perceived,√ñā,ati pr,13
ṭīkā,fem,sub-commentary; commentary on a commentary,,ā fem,7
ṭhapanīya,ptp,should be set aside; should be placed aside; should be left alone,√ṭhā,a ptp,14
ṭhapetvā 3,abs,having left; having set aside,√ṭhā,,14
ṭhassati,fut,will stand; will stay; will remain; will last,√ṭhā,ssati fut,5
ṭhāna 02,nt,reason; grounds; basis; cause,√ṭhā,a nt,9
ṭhānaso 1,ind,on the spot; right there; immediately,√ṭhā,,13
ṭhāyī,adj,remaining (in); staying (in); in a state (of); continuing; persisting,√ṭhā,ī adj,5
ṭhita 2,pp,stationary; stable; stabilised; motionless; immovable,√ṭhā,a pp,11
ṭhita 3,pp,remained; stayed; was,√ṭhā,a pp,11
ṭhita 7,pp,situated (in); standing (in); remaining (in),√ṭhā,a pp,11
ṭhiti 1,fem,stability; constancy; continuity; endurance; persistence; longevity,√ṭhā,i fem,8
ḍeti,pr,flies; flies up,√ḍi 1,eti pr,3
taca 1,masc,(of a humna) skin,,a masc,2
taṇḍula 1,masc,dehusked rice; (comm) grain from grass,,a masc,2
taṇhā 1,fem,craving (for); wanting; desire (for),√tas 2,ā fem,7
tatiya 1.1,ordin,third (3rd),,a ordin,12
tattha 1,ind,there; in that place,,,8
tattha 2,ind,in that regard; in that case; regarding that matter,,,8
tatra 1,ind,there; in that place,,,8
tatra 2,ind,in that case; in that regard; in this matter; in this connection,,,8
tathā,ind,so; thus; in such a way; likewise; similarly,,,13
tapassī 1,masc,ascetic,√tap,ī masc,5
tasa,adj,moving; mobile; (comm) with craving,√tas 1,a adj,11
tasati 1.1,pr,is afraid (of); fears,√tas 1,ati pr,3
tasmā 2,ind,therefore; that is why,,,13
tasmiṃ samaye,idiom,then; on that occasion; at that time,,,10
tasmiṃ 2,pron,when that,,ta pron,10
tassa 3,pron,when he; when it,,ta pron,10
tassa 4,ind,therefore; thus; so; because of that; regarding that,,,13
tārituṃ,inf,to cross; to cross over,√tar 1,,9
tāreti,pr,saves; rescues; helps across,√tar 1,eti pr,14
tāla 1.1,masc,palm tree; Palmyra,√tal,a masc,2
tāva 1,ind,that much; that far; as long as; to that extent; until; at least,,,9
ti 1,card,three (3),,ti card,12
tiṭṭhati 1,pr,stands,√ṭhā,ati pr,3
tiṭṭhati 3,pr,remains; persists; lasts,√ṭhā,ati pr,3
tiṭṭhanta 1,prp,standing (in); standing still,√ṭhā,anta prp,10
tiṭṭhanta 2,prp,lasting; remaining; persisting,√ṭhā,anta prp,10
tiṭṭhamāna,prp,standing; remaining,√ṭhā,māna prp,10
tiṇa 1,nt,grass; straw,,a nt,9
tiṇa 2,nt,weed,,a nt,9
tiriyaṃ 1,ind,across,√tir,,13
tiriyaṃ 2,ind,horizontally; width-wise,√tir,,13
tila,nt,sesame seed,,a nt,9
tīra,nt,shore; riverbank; beach,√tir,a nt,9
tucchā,ind,baselessly; groundlessly; emptily,,,13
tuṇhī 3,ind,silent; quiet,,,13
tena 2,ind,thereby; because of that; on that account,,,9
tena 3,ind,there,,,9
tvaṃ 1,pron,you (subject),,tvaṃ pron,5
thala 1,nt,dry land; firm ground; terra firma,√thal,a nt,9
thāvara,adj,stationary; stable; immobile; arahant; (comm) without craving,√ṭhā,a adj,11
thulla 1,adj,big; fat,√thūl,a adj,11
thūla 1,adj,massive; large,√thūl,a adj,11
thūla 2,adj,gross; coarse,√thūl,a adj,11
thena,masc,thief; robber,√then,a masc,2
theyya 1,nt,theft; stealing,√then,a nt,9
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk,√ṭhā,a masc,2
dakkha,adj,expert; skilled; able; adroit,√dakkh,a adj,11
dakkhi,aor,saw,√dis 1,i aor,4
dakkhiṇa 1,adj,right (hand side),√dakkh,a adj,11
dakkhiṇā 1,fem,gift; donation,√dakkh,ā fem,7
daṭṭhabba 1,ptp,should be seen; should be regarded as; should be understood,√dis 1,a ptp,14
daṇḍa 1,masc,stick; truncheon; nightstick; club,,a masc,2
daṇḍaka 1,masc,handle,,a masc,2
dadāti,pr,gives (to); offers (to); donates (to),√dā 1,āti pr,3
danta 1.1,masc,tooth,,a masc,2
dabbī,fem,spoon; wooden spoon; ladle,√dar 1,ī fem,8
dameti,pr,makes tame; masters; control,√dam,eti pr,14
damma 1.1,ptp,able to be tamed; fit to be trained; tameable; trainable,√dam,a ptp,14
dayā,fem,compassion (for); kindness (towards); mercy (for); pity (on),√day,ā fem,7
dasa 1.1,card,ten (10),,a1 card,12
dasama 1,ordin,tenth (10th),,aī ordin,12
dassana 3,nt,insight; realization; spiritual vision,√dis 1,a nt,9
dassanāya 2,nt,in order to visit; for the purpose of seeing,√dis 1,a nt,9
dassī 2,adj,who sees; who knows; who perceives; who understands,√dis 1,ī adj,5
dava 1.1,masc,fun; joke; play; sport; pleasure,√dū,a masc,2
daḷha 1,pp,strong; firm; steady,√dah,a pp,11
daḷhaṃ,ind,firmly; strongly; vigorously; perseveringly; unwaveringly,√dah,,13
dātar 1,masc,giver; donor; bestower (of),√dā 1,ar masc,6
dāna 1.1,nt,giving; offering; charity; generosity,√dā 1,a nt,9
dāna 1.2,nt,,√dā 1,a nt,9
dāni,ind,now; immediately,,,6
dāra,masc,wife,,a masc,2
dārikā,fem,girl; daughter,,ā fem,7
diṭṭha 1.1,pp,seen; found; visible,√dis 1,a pp,11
diṭṭhi 1,fem,view; belief; opinion; concept; theory; attitude,√dis 1,i fem,8
diṭṭhika,adj,having views; believing in; holding opinions,√dis 1,a adj,11
dinna 1,pp,given (to); offered (to),√dā 1,a pp,11
dinna 2,nt,offering (to); gift (to),√dā 1,a nt,11
dibba,adj,divine; heavenly; celestial,√div,a adj,11
disā 1,fem,direction; cardinal point,√dis 2,ā fem,7
dissati 1,pr,is seen; is observed; is manifest,√dis 1,ati pr,13
dissati 2,pr,seems,√dis 1,ati pr,13
disvā,abs,having seen; having understood; having found out,√dis 1,,8
disvāna,abs,having seen,√dis 1,,8
divasaṃ,ind,by day; during the day; for a day,√div,,13
divā,ind,by day; during the day,√div,,13
dīgha 1,adj,long (in space or time); tall; deep,,a adj,11
dīghaso,ind,in length; long; lengthwise,,,13
dīghaṃ,ind,(of breathing) for a long time; deeply,,,13
dukkaṭa 3,nt,class of vinaya offence; wrong-doing,√kar,a nt,9
dukkara 1,adj,difficult to do; hard to achieve,√kar,a adj,11
dukkha 1,adj,uncomfortable; unpleasant,√dukkh,a adj,11
dukkha 2,adj,painful,√dukkh,a adj,11
dukkha 4,nt,pain; physical discomfort,√dukkh,a nt,9
dukkhato 2,ind,as suffering; as pain; as discomfort,√dukkh,,11
dukkhaṃ,ind,badly; with difficulty; uncomfortably,√dukkh,,13
dukkhita 1,pp,afflicted; miserable; suffering,√dukkh,a pp,11
duccarita 2,nt,misconduct; misbehaviour; bad behaviour,√car 2,a nt,9
duṭṭha 1,pp,wicked; evil; bad; corrupt,√dus 1,a pp,11
duṭṭhulla 2,adj,(of speech) rude; obscene; vulgar; coarse,√thūl,a adj,11
dutiya 1,ordin,second (2nd),,a ordin,12
dubbalatara,adj,weaker,√bal,a adj,11
dubbalī,adj,weak; feeble,√bal,ī adj,5
dubbalya,nt,weakness; lack of strength; feebleness; incapability,√bal,a nt,9
dubbhāsita 1,adj,badly spoken; incorrectly said,√bhās 1,a adj,11
duraccaya,adj,difficult to escape; hard to cross; hard to overcome; difficult to get past,√i 1,a adj,11
dullabha 1,adj,difficult to find (for); hard to obtain (for); rare (for),√labh,a adj,11
dussīla 1,adj,unprincipled; immoral; of bad behaviour,√sīl,a adj,11
dūra 1,adj,far away (from); distant (from),√dū,a adj,11
dūrato,ind,from far away; from afar,√dū,,11
dūrama,adj,difficult to delight (in); hard to enjoy,√ram 1,a adj,11
deti 1,pr,gives (to); donates (to); offers (to); hands (to),√dā 1,eti pr,3
desanā 3,fem,(vinaya) appointing; allocating; indicating; designating; showing,√dis 2,ā fem,14
desita 1,pp,preached (by); taught (by); explained (by); instructed (by),√dis 2,a pp,14
desiyamāna,prp,being preached (by); being taught (by); being explained (by),√dis 2,māna prp,14
deseti 1,pr,preach (to); teaches (to); explains (to),√dis 2,eti pr,14
desetuṃ,inf,to preach (to); to teach (to); to explain (to),√dis 2,,14
desenta 1,prp,preaching (to); teaching (to); explaining (to); pointing out (to),√dis 2,enta prp,14
deva 1,masc,deity; god,√div,a masc,2
deva 3,masc,rain cloud,√div,a masc,2
deva 4,masc,sky,√div,a masc,2
devatā,fem,deity; god,√div,ā fem,7
domanassa,nt,(mental) suffering; distress; dissatisfaction; dejection; depression; unhappiness; grief; negative state of mind,√man,a nt,9
dosa 1.1,masc,aversion; ill-will; hate; hatred,√dus 2,a masc,2
dosa 2.2,masc,defect; corruption; problem,√dus 1,a masc,2
dvādasa 1,card,twelve (12),,a1 card,12
dvāra 1,nt,door; entrance; gate; gateway,√dvar,a nt,9
dvi,card,two (2),,dvi card,12
dhaja 1,masc,flag; banner,√dhaj,a masc,2
dhana 1,nt,wealth; riches; treasure,√dhan 1,a nt,9
dhamma 1.01,masc,nature; character,√dhar 1,a masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,√dhar 1,a masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,√dhar 1,a masc,2
dhamma 1.05,masc,mental states,√dhar 1,a masc,2
dhamma 1.06,masc,matter; thing; phenomena,√dhar 1,a masc,2
dhamma 1.07,masc,truth; reality; principle; truth behind the teaching,√dhar 1,a masc,2
dhamma 1.09,masc,law; case; rule; legal process,√dhar 1,a masc,2
dhamma 1.10,adj,of such nature; liable (to); prone (to); destined (for),√dhar 1,a adj,11
dhamma 1.14,masc,act; practice,√dhar 1,a masc,2
dhammika 2,adj,righteous; just,√dhar 1,a adj,11
dhammī 1,adj,righteous; religious; moral; related to the Dhamma,√dhar 1,ī adj,5
dhāta 1.1,pp,remembered; retained in mind; known off by heart,√dhar 2,a pp,11
dhātu 1,fem,state; property; condition; element,√dhā,u fem,8
dhātuso 1,ind,as states; as elements; by way of the elements,√dhā,,13
dhāraṇa 2,nt,wearing,√dhar 2,a nt,9
dhārayati 1,pr,holds; keeps; carries,√dhar 2,ati pr,3
dhārā 1.1,fem,stream of water; rain-shower,√dhar 1,ā fem,7
dhāretabba 2,ptp,should be kept; should be stored,√dhar 2,a ptp,14
dhāreti 3,pr,bears in mind; keeps in mind; remembers,√dhar 2,eti pr,3
dhāressati,fut,will bear in mind; will keep in mind; will remembers,√dhar 2,eti pr,5
dhītar,fem,daughter,,ar fem,8
dhīra 2.2,masc,wise man; sage; intelligent person,√dhī,a masc,2
dhura 3,nt,yoke-pole,√dhar 1,a nt,9
dhuva 1,adj,stable; enduring; permanent; eternal; everlasting,√dhuv,a adj,11
dhūta 1,nt,ascetic practice,√dhū,a nt,11
dhūma,masc,smoke,√dhū,a masc,2
dheyya 1,nt,realm (of); sphere (of); power (of); influence (of),√dhā,a nt,14
na sukaraṃ,idiom,it is not easy (to); it is not easy to make,,,9
na 1,ind,no; not; neither; nor,,,5
nakkhatta 1,nt,constellation; zodiac; celestial object,√nakkh,a nt,9
nakha 1,masc,fingernail; toenail,,a masc,2
nagara 1,nt,town; city,,a nt,9
nati,fem,inclination; tendency; bent; bias,√nam,i fem,8
natthi 1,pr,is not; it is not; there is not; there is no; there is nothing,√as 1,natthi pr,5
natthi 2,pr,does not exist; no longer exists,√as 1,natthi pr,5
natthitā,fem,nonexistence; idea of nonexistence; absence,√as 1,ā fem,7
nadita,pp,,√nad,a pp,11
nanu,ind,surely?; but wouldn’t?; is it true?; wasn’t?,,,9
nandimukhiyā rattiyā,idiom,when smiling face of dawn,,,10
nanvāgameti,pr,does not follow around; does not return (to); does not revive; does not relive,√gam,eti pr,14
nappaṭikaṅkhati,pr,does not anticipate; does not expect; does not await; does not personally wish (for),√kaṅkh 1,ati pr,5
nappaṭikaroti,pr,does not make amends; does not redress; does not remedy; does not correct oneself,√kar,oti pr,5
nappaṭiggaṇhāti 2,pr,(of an apology) does not accept,√gah,āti pr,5
nara,masc,man; person,,a masc,2
nava 1.1,adj,new; fresh,,a adj,11
nava 2.1,card,nine (9),,a1 card,12
navama,ordin,ninth (9th),,aī ordin,12
nahāyati,pr,takes a bath; bathes; washes,√nhā,ati pr,3
nahāru,masc,tendon; sinew,√nah,u masc,6
nāga 2,masc,tusker; bull elephant,,a masc,2
nājjheti,pr,does not fret; does not worry; is not anxious,√jhā,eti pr,5
nātimaññati,pr,does not despise; does not scorn; does not look down (on); does not have contempt (for); is not condescending (towards),√man,ati pr,5
nātha,masc,protector; lord; refuge (of),√nāth,a masc,2
nāda,masc,roar; bellow; shout,√nad,a masc,2
nādhiṭṭhāti,pr,does not stand firmly; does not take a stand; does not make up one’s mind; does not fixate,√ṭhā,āti pr,5
nādhimuccati 1,pr,is not drawn (to); is not attracted (to); does not incline (towards),√muc,ati pr,13
nādhimuccati 2,pr,does not draw a definite conclusion (about); is not resolved (about),√muc,ati pr,13
nādhivāseti,pr,does not tolerate; does not accept; does not endure,√vas 1,eti pr,14
nānvāgameti,pr,does not follow around; does not return (to); does not revive; does not relive,√gam,eti pr,14
nābbhaññāsi,aor,did not directly know; did not understand experientially,√ñā,āsi aor irreg,5
nābhijānāti 1,pr,does not know; does not understand,√ñā,āti pr,5
nāma 2,ind,called; means; by the name of; namely,,,13
nāma 4,nt,name,,a nt,9
nāma 5,nt,"mental objects of consciousness; mentality; mental factors of feeling, perception, intention, contact and attention",,a nt,9
nārī,fem,woman,,ī fem,8
nāsakkhi,aor,was unable (to); was incapable (of); was not possible (to),√sak,i aor issaṃ,5
nikkhanta 2,pp,elapsed; passed; finished; over,√kam 1,a pp,11
nikkhāmetvā,abs,having ejected (from); having expelled (from),√kam 1,,14
nikkhipati 2,pr,puts down; places down; lays down,√khip 1,ati pr,3
nikkhipati 3,pr,keeps; stores; saves; sets aside; lays aside,√khip 1,ati pr,3
nikkhipitvā 1,abs,having placed down; having laid on the ground; having dropped; having deposited,√khip 1,,8
nigaṇṭha 1,masc,Jain; naked ascetic,√ganth,a masc,2
niggahita 1,pp,restrained; held back; reigned in,√gah,a pp,11
nicca 1,adj,permanent; lasting; continuous; ordered; stable; reliable; regular; immutable,,a adj,11
nicchāta,adj,satiated; satisfied; desireless,√chā,a adj,11
nijjhāyati 1,pr,meditates; reflects; considers; ponders (over),√jhā,ati pr,3
nidāna 1,nt,source; origin; foundation; cause; reason,√dā 3,a nt,9
nidāna 4,nt,background story; narrative setting; introductory tale,√dā 3,a nt,9
niddā,fem,sleep; (comm) sleeping too much,√dā 5,ā fem,7
niddisi 1,aor,indicated; pointed out; designated; appointed,√dis 2,i aor,4
nidhānavant,adj,worth treasuring; worth recording; worth keeping in the heart,√dhā,ant adj,6
nidhi 1,masc,treasure; trove; hoard,√dhā,i masc,4
nindā,fem,blame; criticism; fault-finding; disgrace,√nind,ā fem,7
ninna 1,adj,sloping (towards); slanting (towards); inclining down (to),√nam,a adj,11
nipaka 1,adj,intelligent; wise; discerning; astute,,a adj,11
nipāteti 1,pr,lets fall; drops,√pat 1,eti pr,14
nibbattati 1,pr,re-arises; re-appears; regrows; is reborn,√vatt,ati pr,3
nibbāna 2,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,√vā,a nt,9
nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards),√vid 3,ā fem,7
nibbindati 1,pr,is dis-enchanted (with); is disinterested (in); is disillusioned (by); loses interest (in); is dispassionate (towards),√vid 3,ati pr,3
nibbindanta,prp,being disenchanted (by); being disinterested (in); being disillusioned (by); losing interest (in),√vid 3,anta prp,10
nibbindituṃ,inf,to become dis-enchanted (with); to become disinterested (in); to be disillusioned (with); to lose interest (in),√vid 3,,9
nimitta 1,nt,mark; sign; symbol; indication,√mā,a nt,9
niyyātuṃ,inf,to go out (of); to exit; to leave,√yā,,9
niyyātetvā 1,abs,having handed over; having delivered; having returned,√yat 1,,8
niraya,masc,hell; hell realm,√i 1,a masc,5
nirākaroti,pr,rejects; spurns; gets rid (of),√kar,oti pr,3
nirujjhati,pr,dissolves; finishes; stops; ceases; vanishes,√rudh 1,ati pr,13
nirujjhamāna,prp,dissolving; stopping; ending; ceasing; disappearing; vanishing,√rudh 1,māna prp,13
nirodha,masc,ending (of); cessation (of); termination (of); finishing (of),√rudh 1,a masc,2
nisajja,ger,sitting down,√sad,,8
nisajjā 1,fem,sitting; sitting down,√sad,ā fem,7
nisinna 1,pp,seated,√sad,a pp,11
nisīdati,pr,sits (on); sits down (in),√sad,ati pr,3
nisīdi,aor,sat (on); sat down (in),√sad,i aor isuṃ,4
nisedha 2,adj,"restrained (by); controlled, (by); held back (by)",√sidh 1,a adj,11
nissaggiya 1,ptp,involving relinquishment; to be given up; to be forfeited,√sajj 1,a ptp,14
nissajjitabba,ptp,should be given up (to); to be handed over (to); should be relinquished (to),√sajj 1,a ptp,14
nissaya 1,masc,dependency; physical support; reliance; something one depends on,√si 1,a masc,2
nissaraṇa,nt,escape (from); exit (from); exodus (from); way out (of),√sar 1,a nt,9
nissāya 1,ger,leaning (on); depending (on); being supported (by),√si 1,,8
nissita 1,pp,dependent (on); clung (to); attached (to); supported (by); living (on); based (on); relying (on); by means (of),√si 1,a pp,11
nivāsa 1.3,masc,life; existence,√vas 1,a masc,2
nihata 2,pp,(vinaya) settled; closed; put to rest,√han,a pp,11
nīyati 1.1,pr,is led (by); is led astray (by); is led about (by),√nī,ati pr,13
nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance,√var 1,a masc,2
nu,ind,(adds a question mark) surely?; didn’t?; wouldn't?; which?,,,9
nūna 2,ind,could it be?; what if?; shall?; let’s?; perhaps?,,,9
neta,pron,this (is) not,,ta pron,10
neti 1.1,pr,leads; carries away; takes away,√nī,eti pr,3
neva 1,sandhi,neither; not,,,5
neva 2,sandhi,not even; not only,,,5
no 1.1,ind,no; not,,,5
no 1.2,ind,(adds a question mark) surely?; didn’t?; isn't it?; definitely,,,9
pakāseti 2,pr,explains; illustrates; illuminates; reveals; teaches,√kās 1,eti pr,14
pakkamati 1,pr,goes (from); goes away (from); leaves (from),√kam 1,ati pr,3
pakkamanta,prp,going away (from); leaving (from); departing (from),√kam 1,anta prp,10
pakkāmi 1,aor,left; set off (from); went away (from),√kam 1,i aor isuṃ,4
pakkha 5,masc,side; party; group; faction,,a masc,2
pakkhandati 1,pr,takes to it; gets it; gains confidence; is inspired; is eager,√khand,ati pr,3
pakkhī,masc,bird,,ī masc,5
paggaṇhāti 2,pr,holds up; raises up,√gah,āti pr,3
paggaṇhāti 3,pr,applies effort; strives on; goes for it; endeavours,√gah,āti pr,3
paggaha 3,masc,donation; handout; give-away,√gah,a masc,2
paggahetvā 2,abs,having raised up; having lifted up,√gah,,8
paggāha 1,masc,effort; exertion; striving,√gah,a masc,2
pacālaka 1,adj,swinging; swaying; shaking; nodding,√cal,a adj,11
paccakkhāna,nt,denial; refusal; rejection,√khā,a nt,9
paccaññāsi,aor,admitted; claimed,√ñā,āsi aor,4
paccattaṃ,ind,for oneself; individually; personally; exclusively,,,13
paccanīka 1,nt,opposition; resistance; conflict; argument,√an,a nt,9
paccanubhavati,pr,displays; manifests,√bhū,ati pr,3
paccantima,adj,border; frontier; outlying,,a adj,11
paccaya 1,masc,support; requisite; necessity,√i 1,a masc,2
paccaya 2,masc,cause (for); reason (for); supporting condition (for); requirement (for),√i 1,a masc,2
paccayā,ind,dependent on; due to; caused by,√i 1,,13
paccassosi,aor,replied (to); agreed (with),√su 1,i aor,4
paccavekkhati,pr,reviews; regards; reflects; considers,√ikkh,ati pr,3
paccavekkhamāna,prp,reviewing; reflecting (on); looking (at),√ikkh,māna prp,10
paccavekkhitabba,ptp,should be considered; should be reviewed; should be contemplated; should be reflected (on),√ikkh,a ptp,14
paccāsā,fem,expectation; hope; anticipation,√is,ā fem,7
paccupaṭṭhita 6,pp,established; in place,√ṭhā,a pp,11
paccuppanna 1,pp,present; presently arisen; existing; current,√pad,a pp,11
paccūsa,masc,before dawn; early morning,,a masc,2
pacchato 2,ind,behind; backwards,,,11
pacchā 1,ind,afterwards; later; in the future,,,6
pajahati,pr,gives up; abandons; lets go (of),√hā 1,ati pr,3
pajā 2,fem,people; population; generation; mankind,√jan,ā fem,7
pajānāti,pr,knows; knows clearly; understands; distinguishes,√ñā,āti pr,3
pajjunna,masc,name of a deity; god of rain; rain cloud,,a masc,2
pajjota 1,masc,lamp,√jut,a masc,2
pajjhāyati,pr,broods; is anxious; is concerned; is overcome,√jhā,ati pr,3
pañca,card,five (5),,a1 card,12
pañcakkhattuṃ,ind,five times,,,13
pañcama,ordin,fifth (5th),,aī ordin,12
paññatta 2,pp,(of a rule) formulated; prescribed; decreed; declared,√ñā,a pp,14
paññapeti 1,pr,teaches; preaches; proclaims,√ñā,eti pr,14
paññapetuṃ,inf,to define; to delineate; to describe,√ñā,,14
paññavant,adj,wise; intelligent; discerning; insightful; percipient,√ñā,ant adj,6
paññā 1,fem,wisdom; knowledge; understanding; insight; distinctive knowledge,√ñā,ā fem,7
paññāpeti 3,pr,is evident,√ñā,eti pr,14
paññāyati 1,pr,is clearly known; is evident; is perceived; there is,√ñā,ati pr,13
paññāsā,card,fifty (50),,ā card,12
pañha 2,masc,question; enquiry,√pañh,a masc,2
paṭikkanta 1,pp,returned (from); come back (from),√kam 1,a pp,11
paṭikkosati,pr,rejects; refuses to accept; disses; disdains,√kus 1,ati pr,3
paṭiggaṇhāti 1,pr,takes; accepts; receives,√gah,āti pr,3
paṭiggaṇhāti 2,pr,(of an apology) accepts,√gah,āti pr,3
paṭiggaheti,pr,takes; accepts; receives,√gah,eti pr,3
paṭiggahetvā 2,abs,having received; having accepted,√gah,,8
paṭigha 1,masc,aversion; repulsion; resistance; irritation; conflict,√ghaṭ 1,a masc,2
paṭighāta 1,masc,warding off; repelling; driving off,√ghaṭ 1,a masc,2
paṭicca 1,ger,dependent; depending (on); contingent (upon); relying (on); because (of); supported (by); on account (of); grounded (on),√i 1,,8
paṭijānāti 3,pr,makes the claim (of); claims (to be),√ñā,āti pr,3
paṭinissagga,masc,giving up (of); relinquishing (of); dropping (of); abandoning (of),√sajj 1,a masc,2
paṭinissajjati,pr,gives up; relinquishes; drops; abandons,√sajj 1,ati pr,3
paṭinivattitvā,abs,having turned around and come back (from),√vatt,,8
paṭipajjati 2,pr,practices; follows a course of action; follows a method,√pad,ati pr,3
paṭipadā 1,fem,way; path of progress; path of practice,√pad,ā fem,7
paṭibhāti,pr,comes to mind; occurs (to),√bhā,āti pr,3
paṭibhāna 1.1,nt,eloquence; wit; ingenuity; quick response,√bhaṇ,a nt,9
paṭilabhati 1,pr,obtains; gets; receives; personally experiences,√labh,ati pr,3
paṭilābha,masc,obtaining (of); acquiring (of); gaining (of); personal acquisition (of),√labh,a masc,2
paṭisañcikkhati,pr,reflects; considers; discerns,√cikkh,ati pr,3
paṭisaṃyutta,pp,connected (to); concerned (with); related (to),√yuj,a pp,11
paṭisaṃvedī,adj,experiencing; feeling; sensitive to,√vid 1,ī adj,5
paṭisaṃvedeti,pr,personally experiences; undergoes; feels,√vid 1,eti pr,3
paṭisaṃharati 1,pr,withdraws from; pulls back (from),√har 1,ati pr,3
paṭisevati 1,pr,practices; indulges (in); engages (in),√sev,ati pr,3
paṭisevati 2,pr,uses; makes use (of),√sev,ati pr,3
paṭisevanta 1,prp,practising; indulging (in); engaging (in),√sev,anta prp,10
paṭissutvā,abs,having agreed (with); having responded in agreement (to),√su 1,,8
paṭivineti,pr,drives out; dispels; gets rid of; subdues,√nī,eti pr,3
paṭivinodetvā,abs,having driven out; having dispelled; having removed; having got rid (of),√nud,,14
paṭhama 1,ordin,first (1st); prime,,a ordin,12
paṭhavī,fem,earth; world,√path 2,ī fem,8
paṇāmetvā 2,abs,(of hands) having stretched out (in reverential salutation),√nam,,14
paṇidahi,aor,guided; directed; determined; intended; aimed,√dhā,i aor,4
paṇidhāya 1,ger,guiding; directing; determining; setting,√dhā,,8
paṇihita 1,pp,guided; directed; orientated; determined; intended,√dhā,a pp,11
paṇīta 2,pp,fine; refined; excellent; superior; sublime,√nī,a pp,11
pati 2.1,masc,lord; master; ruler,√pat 2,i masc,4
patikuṭati,pr,bends away (from); turns aside (from),√kuṭ 1,ati pr,3
patitthīyati,pr,is stubborn; is obstinate; is pig-headed; is resistant,√thī,ati pr,13
patirūpa,adj,suitable (for); proper (for); appropriate (for); befitting (for),√rūp,a adj,11
patilīyati,pr,withdraws (from); pulls away (from); draws back (from),√lī 1,ati pr,3
pativattati,pr,bends back; goes back; fold backwards,√vatt,ati pr,3
patta 1.1,masc,bowl; alms bowl; begging bowl,√pā 1,a masc,2
patta 3.1,pp,reached; attained; gained; accomplished; found,√ap,a pp,11
patthayamāna 1,prp,wishing (for); aspiring (for),√atth,māna prp,10
patvā 1,abs,having reached; having arrived (at),√ap,,8
patha 1,masc,path; road; way,√path 1,a masc,2
patha 2,masc,range; mode; way,√path 1,a masc,2
pathavī 2,fem,earth; ground,√path 2,ī fem,8
pada 12,nt,footprint; footstep,√pad,a nt,9
padara 2,nt,cleft; crack; crevice,√dar 1,a nt,9
padahati 1,pr,exerts oneself; strives; applies oneself; endeavours,√dhā,ati pr,3
padātabba,ptp,should be given (to); should be presented (to); should be offered (to),√dā 1,a ptp,14
padūseti,pr,spoils; pollutes; corrupts,√dus 1,eti pr,14
padesa 1,masc,place; location; region; area,√dis 2,a masc,2
padosa 1.1,masc,anger; hatred; aversion,√dus 2,a masc,2
padhāna 1,nt,making effort; exerting; striving; trying (to),√dhā,a nt,9
panūdati,pr,dispels; drives out; rejects; pushes away,√nud,ati pr,3
panta 2,adj,secluded; isolated; solitary,,a adj,11
papañca,masc,various opinions; proliferation; endless conceptualization,√pañc,a masc,2
papañceti,pr,proliferates (about); forms various opinions (about),√pañc,eti pr,3
pabbajati,pr,ordains as a monastic; renounces the household life,√vaj,ati pr,3
pabbajita 1,masc,monk; monastic; renunciant; renunciate,√vaj,a masc,11
pabbajita 2,pp,ordained (from); renounced (from),√vaj,a pp,11
pabbajjā,fem,(vinaya) ordination; renunciation; becoming a monastic,√vaj,ā fem,7
pabbata 2,masc,mountain; hill,,a masc,2
pabbājeti 1,pr,banishes (from); exiles (from); drives away (from),√vaj,eti pr,14
pabbhāra 1,adj,sloping (towards); inclining down (towards); leading (to); aiming (at),,a adj,11
pamatta 1,pp,careless; heedless; negligent; inattentive,√mad,a pp,11
pamāṇa 3,nt,measure; measurement; length; size; amount; quantity,√mā,a nt,9
