pali,pos,meaning,root,construction,pattern,cl.
āroha 1,masc,rider; driver,"√ruh 1 a (ascend, grow)",ā + √ruh > roh + *a,a masc,2
āloka,masc,light; brightness; clarity,√lok 8 *e (look),ā + √lok + a,a masc,2
āsaṅga,masc,robe; cloak,"√sañj 1 a (clasp, embrace)",ā + √sañj > saṅg + a,a masc,2
āsana 1,nt,seat; chair,√ās 1 a (sit),√ās + ana,a nt,9
āsabhī,adj,lordly; imposing; bold,,usabha > āsabha + *ī,ī adj,5
āsaya 2,masc,home (of); dwelling (of); abode (of),"√sī 1 a (lie, sleep)",ā + √sī > say + *a,a masc,2
āsava 1.2,masc,discharge; suppuration; outflow; effluent; (comm) defilement,√su 1 a (flow),ā + √su > sav + *a,a masc,2
āsi 1.1,aor,was,√as 1 a (be),a + √as + i,āsi aor irreg,4
āsīna 1,pp,seated; sitting,√ās 1 a (sit),√ās + [ī] + na,a pp,11
āsevita 1,pp,practised persistently,"√sev 1 a (serve, associate)",ā + √sev + ita,a pp,11
āsevitabba,ptp,should be practised; should be pursued; should be devoted to; should be indulged in,"√sev 1 a (serve, associate)",ā + √sev + itabba,a ptp,14
āvaṭṭaggāha,masc,clutch of a whirlpool; sucked in by a whirlpool,,āvaṭṭa + gāha,a masc,19
āvaraṇa 1,adj,obstructing; blocking; impeding,"√var 1 a (cover, dress, restrain)",ā + √var + aṇa,a adj,11
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1 a (live),ā + √vas > vās + *a,a masc,2
āvi,ind,openly; in full view; face to face,,,,13
āvi ceva raho ca,idiom,openly and even in private,,āvi + ca + eva + raho + ca,,16
āviñjati 1,pr,pulls; pulls on,"√iñj 1 a (move, shake)",ā + vi + iñja + ti,ati pr,3
āvilatta 1,nt,(of mind) fact of agitation; confusion; disturbance,"√bil 1 a (break, chop)","ā + √bil > vil + a + tta
āvila + tta",a nt,9
āvudha 1,nt,weapon; arms; (comm) bows and crossbows,√yudh 3 ya (fight),ā + √yudh > vudh + a,a nt,9
āvuso,ind,brother; brothers; friend; friends,"√i 1 a (come, go)","ā + √i > ay + *as + mant + o
āyasmanto > āyas(mant)o > āvuso",,13
āhacca 2.1,ptp,removable; detachable,√har 1 a (carry),ā + √har + tya,a ptp,14
āhaccapādaka,adj,with removable legs; with detachable feet,,"āhacca + pāda + ka
āhaccapāda + ka",a adj,19
āhāra 1,masc,food (for); fuel (for); sustenance (for); nutriment (for); (comm) condition,"√har 1 a (take, seize)",ā + √har > hār + *a,a masc,2
āhāreti,pr,eats; takes food; consumes,"√har 1 *e (take, seize)",ā + hāre + ti,eti pr,14
iṅgha,ind,please!; come on!; go on!; move it!; check it out!,"√iñj 1 a (move, shake)",√iñj > iṅgh + a,,13
iccāyasmā,sandhi,thus (said) venerable,,iti > ity > icc + āyasmā,,16
iccetaṃ 1,sandhi,that is,,iti > ity > icc + etaṃ,,16
iccete,sandhi,(introducing a list) namely these,,iti > ity > icc + ete,,16
iccevaṃ,sandhi,thus like this,,iti > ity > icc + evaṃ,,16
iccha,adj,wishing (for); desiring; wanting,√is 1 a (wish for),iccha + a,a adj,11
icchaka,adj,wanting; desiring,√is 1 a (wish for),"iccha + ā + ka
icchā + ka",a adj,11
icchati 1.1,pr,wishes; wants; desires (to),√is 1 a (wish for),iccha + ti,ati pr,3
iṭṭha 1.1,pp,pleasing; likeable; cherished; wished for,√is 1 a (wish for),√is + ta,a pp,11
iṇa,nt,debt; loan,,,a nt,9
itara 2,pron,rest of,,ima + tara,a pron,10
iti,ind,thus; like this; this is; and so,,,,13
itipi,sandhi,(item being named); it is so; thus; just like this,,iti + api,,16
itissa,sandhi,thus for him; thus to him; thus his,,iti + assa,,16
ito 2,ind,(of place) from here; away from,,ima + to,,13
itthatta 1,nt,present state of existence; earthly existence; such an existence,,"ima + ttha + tta
ittha + tta",a nt,9
itthimati,fem,woman's intentions (to); woman's proposal (to),,itthi + mati,i fem,19
itthiratana,nt,woman treasure; consort of a universal ruler; one of the seven treasures of a universal ruler,,itthi + ratana,a nt,19
itthī 1,fem,woman; female,,,ī fem,8
ida,ind,in this case; here,,,,13
idappaccayā,ind,due to this; on account of this; because of this,,"idaṃ + paccaya + ā
idappaccaya + ā",,17
idampi,sandhi,just this; this very; this exact,,idaṃ + api,,17
iddhi 1,fem,psychic power; psychic potency; supernormal ability,"√idh 3 ya (succeed, accomplish)",√idh + ti,i fem,8
iddhipāda 1,masc,basis for success; road to power; basis for spiritual power,,iddhi + pāda,a masc,19
iddhimant,masc,who has psychic powers; possessing supernormal ability,"√idh 3 ya (succeed, accomplish)","√idh + ti + mant
iddhi + mant",ant masc,6
iddhividhā,fem,kinds of psychic power; types of supernormal ability,,iddhi + vidhā,ā fem,19
idha 1,ind,here; now; in this world,,ima + dha,,8
idha 2,ind,here; in this regard; in this case,,ima + dha,,8
idhassa,sandhi,here could be; there might be,,idha + assa,,16
idhāvuso,sandhi,here friend; now brothers; in this case brethren,,idha + āvuso,,16
idhekacca,pron,here one; here a certain; in this case some; some people here,,idha + ekacca,ekacca pron,16
idheva,sandhi,right here; just here; only here,,idha + eva,,16
indakhīla 1,masc,(of a city) Inda's column; gate post of a city,,inda + khīla,a masc,19
indriya 1,nt,sense; mental faculty; power,,indra + iya,a nt,9
indriyasaṃvara,masc,control of the mind; sense restraint,,indriya + saṃvara,a masc,19
ima 1.1,pron,this,,,ima pron,10
imameva,sandhi,this very; this exact same; this here,,imaṃ + eva,,17
imasmiñca,sandhi,and in this; and in regard to this; and when this,,imasmiṃ + ca,,17
imasmiṃ 2,pron,when this,,ima + smiṃ,ima pron,10
imasmiṃyeva,sandhi,in this very; in this exact,,imasmiṃ + [y] + eva,,17
imassuppādā,sandhi,from the arising of this; when this arises,,imassa + uppādā,,16
imāhaṃ,sandhi,this I,,imaṃ + ahaṃ,,17
iriyā 1,fem,posture; deportment,"√īr 1 a (move, shake)",√īr + iyā,ā fem,7
iriyā 2,fem,conduct; behaviour; way of living,"√īr 1 a (move, shake)",√īr + iyā,ā fem,7
iriyāpatha 2,masc,"posture; pose; deportment; (specifically) walking, standing, sitting, and lying down",,iriyā + patha,a masc,19
isi,masc,seer; sage,,,i masc,4
isipatana,nt,name of a forest near Bārāṇasī,,isi + patana,a nt,19
issara 2,masc,god; creator; god almighty; (comm) lord of the world,√īs 3 ya (have power),√īs > iss + ara,a masc,2
iva,ind,like; as,,,,13
īsī,fem,queen; female ruler,√īs 3 ya (have power),"√īs + a + ī
īsa + ī",ī fem,8
ukkaṭṭhā,fem,name of town,"√kas 1 a (drag, draw)","ud + √kas + ta + ā
ukkaṭṭha + ā",ā fem,7
ukkoṭeti,pr,(of legal case) re-opens,"√kuṭ 1 *e (be crooked, be bent)",ud + koṭe + ti,eti pr,14
uggacchanta,prp,(of the sun) rising; ascending; coming up,√gam 1 a (go),ud + gaccha + nta,anta prp,10
uggahīta,pp,grasped; held onto; raised up,√gah 6 ṇhā (grasp),ud + √gah + ita,a pp,11
uggahetvā 3,abs,having learned; having memorized,√gah 6 ṇhā (grasp),ud + gahe + tvā,,8
ucca 1,adj,high; tall,,ud + tya,a adj,11
uccāra,masc,excrement; faeces,"√car 1 a (move, walk)",ud + √car > cār + *a,a masc,2
uccāsoṇḍā,fem,(of an elephant) raised trunk; (comm) trunk of pride,,uccā + soṇḍā,ā fem,19
ucchijjati,pr,is destroyed; is annihilated,"√chid 2 ya (cut, steal)",ud + chijja + ti,ati pr,13
ucchinna,pp,broken off; cut off; severed,"√chid 2 ṃa (cut, steal)",ud + √chid + na,a pp,11
ucchinnamūla,adj,cut at the root; eradicated at the source,,ucchinna + mūla,a adj east,19
uju 1,adj,straight; upright; erect,√uj 1 a (be straight),√uj + u,u adj,11
ujuṃ,ind,uprightly; erectly,√uj 1 a (be straight),"√uj + u + uṃ
uju + uṃ",,13
ujjhāyati,pr,finds fault; thinks badly of,"√jhā 3 ya (think, meditate)",ava > o > u + jhāya + ti,ati pr,3
ujjhāyanta,prp,finding fault; thinking badly of,"√jhā 3 ya (think, meditate)",ava > o > u + jhāya + nta,anta prp,10
uñcha,masc,gleaning; food gathered for subsistence,√uñch 1 a (glean),√uñch + a,a masc,2
uṭṭhahati 1,pr,gets up; gets out; arouses oneself,√ṭhā 1 a (stand),ud + ṭhaha + ti,ati pr,3
uṭṭhāna 1,nt,waking up; getting up; rising,√ṭhā 1 a (stand),ud + √ṭhā + ana,a nt,9
uṭṭhāna 2,nt,effort; exertion; initiative; activity,√ṭhā 1 a (stand),ud + √ṭhā + ana,a nt,9
uṭṭhānasaññā,fem,notion of waking up; wake up time,,uṭṭhāna + saññā,ā fem,19
uṭṭhānavīriya,nt,effort and exertion; get up and go,,uṭṭhāna + vīriya,a nt,19
uṭṭhānavīriyādhigata,adj,obtained by initiative and exertion,,uṭṭhāna + vīriya + adhigata,a adj,19
uṭṭhāya,ger,rising (from); emerging (from); getting up (from),√ṭhā 1 a (stand),ud + √ṭhā + ya,,8
uṭṭhāyāsanā,ger,rising from one's seat,,uṭṭhāya + āsanā,,16
utu 3,masc,season; time of year,,,u masc,6
uttama 1,adj,best; highest; ultimate; supreme; top,,ud + tama,a adj,11
uttara 2.04,masc,name of a young Brahman,,ud + tara,a masc,2
uttara 2.01,adj,higher (than); superior (to),,ud + tara,a adj,11
uttarāsaṅga,masc,upper robe,,uttara + āsaṅga,a masc,19
uttari 1.1,adj,superior; supreme; better; higher,,"ud + tara + i
uttara + i",i adj,11
uttari 1.2,ind,more (than); moreover; further (than); beyond,,"ud + tara + i
uttara + i",,13
uttarichappañcavācā,fem,more than five or six sentences; more than five or six lines,,uttari + chappañca + vācā,ā fem,19
uttarimanussadhamma,masc,super-human state; super-power; super human distinction,,uttari + manussadhamma,a masc,19
uttariṃ 2,ind,further; another; in addition,√tar 1 a (cross),"ud + √tar + i + iṃ
uttari + iṃ",,13
uttiṇṇa,pp,(of water) crossed over; emerged from; come out the other side,√tar 1 a (cross),ud + √tar > tir + na,a pp,11
uda 1.1,ind,either; or,,,,13
udaka 1.1,nt,water,√ud 2 ṃa (be wet),√ud + aka,a nt,9
udakaphusita,nt,drop of water,,udaka + phusita,a nt,19
udakorohaka,masc,bather; ritual bather,,udaka + orohaka,a masc,20
udapādi 1,aor,arose (for); sprung up (for),"√pad 3 ya (go, step)",ud + a + √pad + i,i aor,4
udapāna,masc,well; (comm) pond; pool,,uda + pāna,a masc,19
udāna 1,masc,inspired saying; exclamation; one of the nine kinds of suttas,"√an 1 a (breath, blow)",ud + √an > ān + *a,a masc,2
udāhu,ind,or (second part of a question),,,,13
uddiṭṭha 1,pp,recited (by); explained (by); mentioned (by),"√dis 1 a (point out, explain)",ud + √dis + ta,a pp,11
uddisati 1,pr,recites; chants,"√dis 1 a (point out, explain)",ud + disa + ti,ati pr,3
uddissa 1,ger,in the name of; on account of; for the sake of; especially for,"√dis 1 a (point out, explain)",ud + √dis + ya,,8
uddissamāna,prp,being recited; being chanted,"√dis 1 ya (point out, explain)",ud + dissa + māna,māna prp,13
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,"√dis 1 a (point out, explain)",ud + √dis > des + *a,a masc,2
uddesa 6,adj,destined for,"√dis 1 a (point out, explain)",ud + √dis > des + *a,a adj,11
uddesa 7,adj,intended for; designated for,"√dis 1 a (point out, explain)",ud + √dis > des + *a,a adj,11
uddhacca,nt,agitation; restlessness; distraction; excitement,"√dhar 1 a (hold, carry, endure)","ud + √dhar + ta + ya
uddhata + ya",a nt,9
uddhamadho,ind,above and below,,uddhaṃ + adho,,19
uddharati 1,pr,pulls up; pulls out; lifts up; raises,"√dhar 1 a (hold, carry, endure)",ud + dhara + ti,ati pr,3
uddharati 2,pr,removes; takes away; packs up,"√dhar 1 a (hold, carry, endure)",ud + dhara + ti,ati pr,3
uddharāpeti,pr,causes to remove; makes take away; causes to pack up,"√dhar 1 *āpe (hold, carry, endure)",ud + dharāpe + ti,eti pr,14
uddhasta 1,pp,risen; appeared,"√dhaṃs 1 a (fall down, destroy)",ud + √dhaṃs + ta,a pp,11
uddhaste aruṇe nandimukhiyā rattiyā,idiom,when the rosy smile of dawn was rising; when dawn had risen and the night had a cheerful face,,,,10
uddhaṃ 1,ind,above; up; on top,,"ud + dha + aṃ
uddha + aṃ",,13
upakappati,pr,is beneficial (for); is good (for),"√kapp 1 a (be fit, be suitable)",upa + kappa + ti,ati pr,3
upagacchati 1,pr,veers towards; swerves towards,√gam 1 a (go),upa + gaccha + ti,ati pr,3
upaghātī,adj,who injures; who harms,"√ghaṭ 8 *e (strike, kill)",upa + √ghaṭ > ghāṭ + *ī,ī adj,5
upajjhāya,masc,preceptor; teacher; mentor,"√i 1 a (study, recite)",upa + adhi > adhy > ajjh + √i > āy + *a,a masc,2
upaññissati,fut,will explain; will teach,√ñā 5 nā (know),upa + √ñā + issa + ti,issati fut,5
upaṭṭhapetvā 1,abs,having set up; having made sure is present,√ṭhā 1 *āpe (stand),upa + ṭhape + tvā,,14
upaṭṭhāna 1,nt,attending (to); waiting on; serving,√ṭhā 1 a (stand),upa + √ṭhā + ana,a nt,9
upaṭṭhāpeti 1,pr,sets out; makes available; provides,√ṭhā 1 *āpe (stand),upa + ṭhāpe + ti,eti pr,14
upaṭṭhāpeti 2,pr,establishes; sets up; causes to be present; makes sure one has,√ṭhā 1 *āpe (stand),upa + ṭhāpe + ti,eti pr,14
upaṭṭhita 1,pp,present; in attendance,√ṭhā 1 a (stand),upa + √ṭhā + ita,a pp,11
upaṭṭhitakāyassati,adj,with body awareness present; attending mindfully to the body,,upaṭṭhita + kāyassati,i adj,19
upadisati,pr,points out; explains; shows; indicates,"√dis 1 a (point out, explain)",upa + disa + ti,ati pr,3
upadduta,pp,afflicted (by); troubled (by); persecuted (by); oppressed (by); tyrannized (by),"√du 1 a (burn, torment)",upa + √du + ta,a pp,11
upanāhī,adj,resentful; who bears a grudge; who harbours enmity; who is vengeful; having rancour,"√nah 3 ya (bind, arm)",upa + √nah > nāh + *ī,ī adj,5
upapajjati 1,pr,is reborn (in); re-arises (in),"√pad 3 ya (go, step)",upa + pajja + ti,ati pr,3
upapajjamāna,prp,being reborn; re-arising,"√pad 3 ya (go, step)",upa + pajja + māna,māna prp,10
upapajjeyya,opt,would be reborn (in); would re-arise (in),"√pad 3 ya (go, step)",upa + pajja + eyya,ati pr,7
upapanna 3,pp,possessed (of); having; with a,"√pad 3 ya (go, step)",upa + √pad + na,a pp,11
upama 1,adj,similar to; like,√mā 5 nā (measure),upa + √mā + a,a adj,11
upaya 1,masc,approach; engagement,"√i 1 a (come, go)",upa + √i > ay + *a,a masc,2
upayupādāna,nt,engaging and grasping; approaching and clinging; going near and grabbing hold,,upaya + upādāna,a nt,19
upayupādānābhinivesavinibandha,adj,"attached to engaging, grasping and clinging; shackled to going near, grabbing and holding",,upaya + upādāna + abhinivesa + vinibandha,a adj,19
uparata,pp,abstained (from); stopped (from); desisted (from),"√ram 1 a (stop, abstain)",upa + √ram + ta,a pp,11
upari 1,ind,above; overhead,,upa + ri,,13
uparipabbata,masc,top of a mountain; mountain peak,,upari + pabbata,a masc,19
uparivehāsa,adj,upper; upstairs; above the ground,,upari + vehāsa,a adj,19
uparivehāsakuṭi,fem,loft bedroom; upper-floor room; attic room,,upari + vehāsa + kuṭi,i fem,19
uparujjhati,pr,is stopped; is ended; is finished,√rudh 2 ya (obstruct),upa + rujjha + ti,ati pr,13
upasaṅkamati,pr,approaches; goes (to); visits,√kam 1 a (go),upa + saṃ + kama + ti,ati pr,3
upasaṅkamana,nt,approaching; visiting,√kam 1 a (go),upa + saṃ + √kam + ana,a nt,9
upasaṅkami,aor,approached; drew near; went (to),√kam 1 a (go),upa + saṃ + √kam + i,i aor,4
upasaṅkamitar 1,masc,visitor; guest,√kam 1 a (go),upa + saṃ + √kam + itar,ar masc,6
upasaṅkamituṃ,inf,to approach; to visit; to go (to),√kam 1 a (go),upa + saṃ + √kam + ituṃ,,9
upasaṅkamitvā,abs,having approached; having gone (to); having drawn near (to),√kam 1 a (go),upa + saṃ + √kam + itvā,,8
upasanta 1,pp,calmed; cooled; composed; still; calm; at peace; tranquil,"√sam 3 ya (be calm, be tired)",upa + √sam + ta,a pp,11
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),"√sam 3 ya (be calm, be tired)",upa + √sam + a,a masc,2
upasampajja 1,ger,reaching; attaining; arriving at,"√pad 3 ya (go, step)",upa + saṃ + √pad + ya,,8
upasampadā 2,fem,(vinaya) higher ordination as monastic,"√pad 3 ya (go, step)",upa + saṃ + √pad + ā,ā fem,7
upasaṃhita 1,pp,connected (with); concerning; to do (with); based (on),"√dhā 1 a (place, support)",upa + saṃ + √dhā > (da)h + ita,a pp,11
upasussati,pr,dries up; withers; shrivels,"√sus 3 ya (dry, wither)",upa + sussa + ti,ati pr,3
upassaya 1,masc,dwelling; shelter; home,"√si 1 a (depend on, associate with)",upa + √si > say + *a,a masc,2
upavadati 1,pr,blames; criticizes; finds fault (with),"√vad 1 a (say, speak)",upa + vada + ti,ati pr,3
upahata 1,pp,injured; impaired; broken; deteriorated,"√han 1 a (strike, kill)",upa + √han + ta,a pp,11
upādāna 2,nt,grasping; clinging; acquiring; appropriating; taking possession; identifying,"√ādā 3 ya (take, seize)",upa + √ādā + ana,a nt,9
upādānakkhandha,masc,pile of fuel (for the fire); heap of acquisition; physical and mental conglomerations that are clung to; pile of matter and mind that are held onto as a self; grasping group,,upādāna + khandha,a masc,19
upādāya 2,ind,derived (from); dependent (on); based (on),"√ādā 3 ya (take, seize)",upa + √ādā + ya,,13
upādiyati,pr,grasps; holds (onto); clings (to); takes possession (of),"√ādā 3 ya (take, seize)",upa + ādiya + ti,ati pr,3
upādiyamāna,prp,grasping; holding (onto); clinging (to); taking possession (of),"√ādā 3 ya (take, seize)",upa + ādiya + māna,māna prp,10
upāyāsa 1,masc,affliction; difficulty; trouble; despair,"√yas 3 ya (strive, struggle)",upa + ā + √yas > yās + *a,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās 1 a (sit),upa + √ās + aka,a masc,2
upāsikā,fem,female disciple; laywomen; female devotee,√ās 1 a (sit),upa + √ās + ikā,ā fem,7
upekkhaka,adj,mental poised; mentally balanced; equanimous; non-reactive; looking on; disregarding,"√ikkh 1 a (see, mark)","upa + ikkha + ā + ka
upekkhā + ka",aka adj,11
upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure,"√ikkh 1 a (see, mark)",upa + √ikkh + ā,ā fem,7
upekkhāsatipārisuddhi,adj,which possesses purification of awareness by equanimity,,upekkhā + sati + pārisuddhi,i adj,20
upeti 2,pr,enters; gets involved (with); engages (in),"√i 1 a (come, go)",upa + e + ti,eti pr,3
uposatha 1,masc,full moon or new moon observance day,√vas 1 a (live),"upa + √vas + a + tha
up<b>ava</b>sa > up<b>o</b>sa + tha",a masc,2
uppajjati 1,pr,appears; arises; occurs; takes place (for),"√pad 3 ya (go, step)",ud + pajja + ti,ati pr,3
uppajjamāna,prp,arising; appearing; coming into being,"√pad 3 ya (go, step)",ud + pajja + māna,māna prp,10
uppajjeyya,opt,would become available (for); would accrue (to); could crop up (for),"√pad 3 ya (go, step)",ud + pajja + eyya,ati pr,7
uppanna 1,pp,arisen; appeared; come into being (for),"√pad 3 ya (go, step)",ud + √pad + na,a pp,11
uppāda 1.1,masc,arising (of); appearance (of); coming into being (of),"√pad 3 ya (go, step)",ud + √pad > pād + *a,a masc,2
uppādeti,pr,produces; generates; causes; gives rise to,"√pad 3 *e (go, step)",ud + pāde + ti,eti pr,14
ubbhata 2,pp,withdrawn; disallowed; suspended,"√dhar 1 a (hold, carry, endure)",ud + √dhar > bhar + ta,a pp,11
ubhato,ind,both; on both sides (of); in both ways; dually,,ubha + to,,11
ubhatodaṇḍaka,adj,two-handled; double-handled; with handles on both sides,,"ubhato + daṇḍa + ka
ubhatodaṇḍa + ka",a adj,19
ubhayamantarena,ind,in-between the two,,"ubhayaṃ + antara + ena
ubhayamantara + ena",,20
uras,masc,breast; heart; chest,,,as masc,18
ulloketi,pr,looks up (at); gazes up (at),√lok 8 *e (look),ud + loke + ti,eti pr,3
usabha 2,masc,who is foremost; finest example; leader,,,a masc,2
ussahati 1.1,pr,makes an effort (in); strives (in); actively endeavours (in),"√sah 1 a (overcome, prevail)",ud + saha + ti,ati pr,3
ussāha,masc,effort; activity; perseverance; strenuous and continuous exertion; energy,"√sah 1 a (overcome, prevail)",ud + √sah > sāh + *a,a masc,2
ussīdati,pr,rises up (onto); washes up (onto); runs aground (on),"√sad 1 a (sink, sit, settle)",ud + sīda + ti,ati pr,3
ussuka,adj,zealously desiring; ambitious; anxiously striving (for); anxious (about); agitated; stressed,,ud + su + ka,a adj,11
ussoḷhi,fem,endurance; strenous exertion,"√sah 1 a (overcome, prevail)",ud + √sah + ti > soḍhi > soḷhi,i fem,8
uḷāra 1,adj,excellent; lofty; high; noble,"√ar 1 a (move, attain)",ud > uḷ + √ar > ār + *a,a adj,11
ūna 1,adj,deficient (in); lacking; wanting; short (by); less than (by),,,a adj,11
ūna 2,nt,shortage; deficiency; lack; want; need,,,a nt,9
eka 1,card,one (1),,,eka card,12
eka 3,adj,alone; single; solitary,,,eka adj,11
eka 4,adj,only,,,eka adj,11
eka 7,ind,once,,,,13
ekaka 1,adj,alone; solitary,,eka + ka,a adj,11
ekagga 1,adj,unified; collected,,eka + agga,a adj,19
ekacca 1,pron,certain; one of,,eka + tya,ekacca pron,10
ekaja,adj,once born; live born (not from an egg),,eka + ja,a adj,19
ekato 1,ind,on one side,,eka + to,,8
ekadā 1,ind,one day; sometimes; at some (unspecified) time,,eka + dā,,6
ekadhamma,masc,one single thing,,eka + dhamma,a masc,19
ekantaparipuṇṇa,adj,completely perfect; utterly complete,,ekanta + paripuṇṇa,a adj,19
ekantaparisuddha,adj,completely pure; totally perfect,,ekanta + parisuddha,a adj,19
ekaputtaka,masc,only young son; single young boy,,eka + puttaka,a masc,19
ekamantaṃ 1,ind,to one side; aside,,"ekaṃ + anta + aṃ
ekamanta + aṃ",,20
ekamidāhaṃ,sandhi,this one (time) I,,ekaṃ + idaṃ + ahaṃ,,17
ekameka 2,masc,each and every person; every individual,,ekaṃ + eka,a masc,17
ekarasa,adj,having one taste; with a single flavour,,eka + rasa,a adj,20
ekasāṭaka 1,masc,ascetic wearing a loin-cloth; one robe ascetic,,"eka + sāṭa + ka
ekasāṭa + ka",a masc,20
ekavihārī,adj,hermetic; who lives alone,,eka + vihārī,ī adj,19
ekaṃsa 1.1,adj,definite; sure; straight; with absolute assurance,,eka + aṃsa,a adj,19
ekādasa 1,card,eleven (11),,eka > ekā + dasa + *a,a1 card,12
ekāsana 3,nt,one sitting; one time,,eka + āsana,a nt,19
ekāsanabhojana,nt,eating in one sitting; (comm) eating up to seven times between dawn and noon,,ekāsana + bhojana,a nt,19
ekībhāva 1,masc,unity; harmony; becoming one,,eka > ekī + bhāva,a masc,19
ekuddesa,adj,(vinaya) following one Pātimokkha,,eka + uddesa,a adj,20
ekenapi,sandhi,by even one; with only a single,,ekena + api,,16
ekodibhāva,masc,singleness; integration; unification,,ekodi + bhāva,a masc,19
ekova,sandhi,alone,,eko + eva,,16
etadattha 1,masc,this is the purpose (of),,etad + attha,a masc,17
etadavoca,aor,said this (to),,etad + avoca,avoca aor,17
etadahosi,sandhi,this (thought) occurred (to),,etad + ahosi,,17
etadeva,sandhi,just this; only this; this exact,,etad + eva,,17
etarahi,ind,now; at present,,eta + [r] + ahi,,16
eti 1,pr,comes (to),"√i 1 a (come, go)",e + ti,eti pr 2,3
ettaka,adj,so much; this much; so long,,"ima + tta + ka
etta + ka",aka adj,11
ettāvatā,ind,to this extent; to such a degree; so far,,"ima + tāva + tā
ettāva + tā",,13
ettha 1,ind,here; in this place; in this case; in this regard,,ima + ttha,,8
etha,imp,come you all!,"√i 1 a (come, go)",e + tha,eti pr 2,4
esanā 1,fem,searching; seeking; quest,"√es 1 a (seek, search)",√es + anā,ā fem,7
esanāpasuta,adj,engaged in seeking; devoted to the quest,,esanā + pasuta,a adj,19
esī,adj,who is seeking; looking for,"√es 1 a (seek, search)",√es + ī,ī adj,5
esevanto,sandhi,just this is the end (of),,eso + eva + anto,,16
esohamasmi,sandhi,I am this; this is me,,eso + ahaṃ + asmi,,17
eva 1,ind,only; just; merely; exclusively,,,,10
eva 3,ind,even; too; as well,,,,10
evañca,sandhi,and thus; and like this; but like this,,evaṃ + ca,,17
evañcetaṃ 1,sandhi,even if this; even if this is the case,,evaṃ + ce + etaṃ,,17
evamassa 1,sandhi,he would (think) thus; this would occur to him,,evaṃ + assa,,17
evamāgata,adj,thus concluded,,evaṃ + āgata,a adj,17
evamārocesi,aor,reported thus; informed this,,evaṃ + ārocesi,esi aor,17
evamidaṃ,sandhi,thus this,,evaṃ + idaṃ,,17
evameva,sandhi,similarly; in the same way; so too; just so,,evaṃ + eva,,17
evamevaṃ,sandhi,similarly; in exactly the same way; so too,,evaṃ + evaṃ,,17
evampi,sandhi,likewise; just like this; similarly; so too,,evaṃ + api,,17
evarūpa,adj,such; similar kind of; of such quality,,evaṃ + rūpa,aī adj,19
evarūpī,adj,of such kind; of such quality,,"eva + rūpa + ī
evarūpa + ī",aī adj,19
evaṃ 1,ind,thus; this; like this; similarly; in the same manner; just as; such,,eva + aṃ,,13
evaṃ 2,ind,yes!; that is right!; correct!,,eva + aṃ,,13
evaṃdiṭṭhī,adj,of such view; who holds the theory that; of the opinion that; who thinks that,,evaṃ + diṭṭhī,ī adj,19
evaṃrūpa,adj,of such form; like this,,evaṃ + rūpa,a adj,19
evaṃvādī,adj,of such view; who hold the view that; having a theory that,,evaṃ + vādī,ī adj,19
evaṃvedana,adj,having such feeling; having this kind of sensation,,"evaṃ + vedanā + a
evaṃvedanā + a",a adj,19
evāhaṃ,sandhi,so I; thus I,,evaṃ + ahaṃ,,17
ehi,imp,come!,"√i 1 a (come, go)",e + hi,eti pr 2,4
oka 1.1,masc,home; abode,√uc 3 ya (comfort),√uc > ok + *a,a masc,2
okantati,pr,cuts off; carves off; saws off,√kat 2 ṃa (cut),ava + kanta + ti,ati pr,3
okāsa 2,masc,opportunity; chance,"√kās 1 a (shine, be visible)",ava + √kās + a,a masc,2
okirati,pr,sprinkles; scatters down (onto),"√kir 1 a (scatter, sprinkle)",ava + kira + ti,ati pr,3
okkanta,pp,entered; gone (into),√kam 1 a (go),ava + √kam + ta,a pp,11
ogadha 1,pp,immersed (in); absorbed (in); plunged (into),"√gāh 1 a (dive, plunge)",ava + √gāh + ta,a pp,11
ogha 1,masc,(of water) flood; deluge; torrent,,,a masc,2
ogha 2,masc,(of defilements) deluge; inundation; torrent,,,a masc,2
ocaraka 1,adj,lowlife; mean; rough,"√car 1 a (act, behave)","ava + √car + a + ka
ocara + ka",a adj,11
otarati 2,pr,fits (with); is found (in); cross-references (with),√tar 1 a (cross),ava + tara + ti,ati pr,3
otāriyamāna,prp,being checked (in); being gone into (in); being cross-referenced (in),√tar 1 *e + iya (cross),ava + tāriya + māna,māna prp,14
otāretabba,ptp,should be checked (in); should be gone into (in); should be cross-referenced,√tar 1 *e (cross),ava + tāre + tabba,a ptp,14
ottappa,nt,regret; shame in wrongdoing; respect for others; (comm) originating from outside,√tapp 1 a (regret),ud > od + √tapp + *a,a nt,9
ottappati 1,pr,regrets; feels remorse (about),√tapp 1 a (regret),ud > od + tappa + ti,ati pr,3
ottappiya,nt,regret; shame in wrongdoing; respect for others,√tapp 1 a (regret),ud > od + √tapp + *iya,a nt,9
ottappī,adj,afraid of wrong; conscientious,√tapp 1 a (regret),ud > od + √tapp + *ī,ī adj,5
